0,FETCH,,MAR <- PC,00010000010000100000000000000000
1,FETCH,,INC PC,00000000100000000000000100000000
2,FETCH,,MDR-FM WE,00000000000000000000000100000000
3,FETCH,,IR <- MDR-FM,01000000000000000010000000000000
4,FETCH,,NOP,00000000000000000000000000000000
5,ADD B,80,TMP <- B,01100000000001000000000000000000
6,ADD B,80,OP=ADD,00000001000000000000000001000000
7,ADD B,80,ACC <- ALU,00110000001000000000000000000000
8,ADD B,80,NOP,00000000000000000000000000000000
9,ADD C,81,TMP <- C,01110000000001000000000000000000
10,ADD C,81,OP=ADD,00000001000000000000000001000000
11,ADD C,81,ACC <- ALU,00110000001000000000000000000000
12,ADD C,81,NOP,00000000000000000000000000000000
13,ANA B,A0,TMP <- B; OP=ANA,01100000000001000000000000000000
14,ANA B,A0,OP=ANA,00000101000000000000000001000000
15,ANA B,A0,ACC <- ALU,00110000001000000000000000000000
16,ANA B,A0,NOP,00000000000000000000000000000000
17,ANA C,A1,TMP <- C,01110000000001000000000000000000
18,ANA C,A1,OP=ANA,00000101000000000000000001000000
19,ANA C,A1,ACC <- ALU,00110000001000000000000000000000
20,ANA C,A1,NOP,00000000000000000000000000000000
21,ANI byte,E6,MAR <- PC,00010000000000100000000000000000
22,ANI byte,E6,INC PC; MDR-FM WE,00000000100000000000000100000000
23,ANI byte,E6,TMP <- MDR-FM; OP=AND,01000000000001000000000000000000
24,ANI Byte,E6,OP=AND,00000101000000000000000001000000
25,ANI byte,E6,ACC <- ALU,00110000001000000000000000000000
26,ANI byte,E6,NOP,00000000000000000000000000000000
27,CALL,CD,MAR <- PC,00010000000000100000000000000000
28,CALL,CD,INC PC,00000000100000000000000100000000
29,CALL,CD,MDR-FM WE,00000000000000000000000100000000
30,CALL,CD,OperandLow <- MDR-FM,01000000000000000100000000000000
31,CALL,CD,MAR <- PC,00010000000000100000000000000000
32,CALL,CD,INC PC,00000000100000000000000100000000
33,CALL,CD,MDR-FM WE,00000000000000000000000100000000
34,CALL,CD,OperandHigh <- MDR-FM,01000000000000000110000000000000
35,CALL,CD,MAR <- SP,11010000000000100000000000000000
36,CALL,CD,DEC SP,00000000000000000000000000000001
37,CALL,CD,MDR-TM <- PC HIGH,11000000000000001000000000000000
38,CALL,CD,RAM WE,00000000000000000000000010000000
39,CALL,CD,MAP <- SP,11010000000000100000000000000000
40,CALL,CD,DEC SP,00000000000000000000000000000001
41,CALL,CD,MDR-TM <- PC LOW,10110000000000001000000000000000
42,CALL,CD,RAM WE,00000000000000000000000010000000
43,CALL,CD,PC <- OperandFull,00100000000000010000000000000000
44,CALL,CD,NOP,00000000000000000000000000000000
45,CMA,2F,TMP <- ACC,01010000000001000000000000000000
46,CMA,2F,OP = CMA,00001000000000000000000001000000
47,CMA,2F,ACC <- ALU,00110000001000000000000000000000
48,CMA,2F,NOP,00000000000000000000000000000000
49,DCR A,3D,TMP <- ACC,01010000000001000000000000000000
50,DCR A,3D,OP=DEC,00000100000000000000000001000000
51,DCR A,3D,ACC <- ALU,00110000001000000000000000000000
52,DCR A,3D,NOP,00000000000000000000000000000000
53,DCR B,05,TMP <- B,01100000000001000000000000000000
54,DCR B,05,OP=DEC,00000100000000000000000001000000
55,DCR B,05,B <- ALU,00110000000100000000000000000000
56,DCR B,05,NOP,00000000000000000000000000000000
57,DCR C,0D,TMP <- C,01110000000001000000000000000000
58,DCR C,0D,OP=DEC,00000100000000000000000001000000
59,DCR C,0D,C <- ALU,00110000000010000000000000000000
60,DCR C,0D,NOP,00000000000000000000000000000000
61,HLT,76,NOP,00000000000000000000000000000000
62,IN byte,DB,MAR <- PC,00010000000000100000000000000000
63,IN byte,DB,INC PC,00000000100000000000000100000000
64,IN byte,DB,MDR-FM WE,00000000000000000000000100000000
65,IN byte,DB,OperandLow <- MDR-FM,01000000000000000100000000000000
66,IN byte,DB,WAIT,00000000000000000000000000000100
67,IN byte,DB,NOP,00000000000000000000000000000000
68,INR A,3C,TMP <- ACC,01010000000001000000000000000000
69,INR A,3C,OP=INC,00000011000000000000000001000000
70,INR A,3C,ACC <- ALU,00110000001000000000000000000000
71,INR A,3C,NOP,00000000000000000000000000000000
72,INR B,04,TMP <- B,01100011000001000000000000000000
73,INR B,04,OP=INC,00000011000000000000000001000000
74,INR B,04,B <- ALU,00110000000100000000000000000000
75,INR B,04,NOP,00000000000000000000000000000000
76,INR C,0C,TMP <- C,01110000000001000000000000000000
77,INR C,0C,OP=INC,00000011000000000000000001000000
78,INR C,0C,C <- TMP,00110000000010000000000000000000
79,INR C,0C,NOP,00000000000000000000000000000000
80,JM address,FA,MAR <- PC,00010000000000100000000000000000
81,JM address,FA,INC PC,00000000100000000000000100000000
82,JM address,FA,MDR-FM WE,00000000000000000000000100000000
83,JM address,FA,OperandLow <- MDR-FM,01000000000000000100000000000000
84,JM address,FA,MAR <- PC,00010000000000100000000000000000
85,JM address,FA,INC PC,00000000100000000000000100000000
86,JM address,FA,MDR-FM WE,00000000000000000000000100000000
87,JM address,FA,OperandHigh <- MDR-FM,01000000000000000110000000000000
88,JM address,FA,NEXT iF NOT M,00000000000000000000000000100000
89,JM address,FA,PC <- OperandFull,00100000000000010000000000000000
90,JM address,FA,NOP,00000000000000000000000000000000
91,JMP address,C3,MAR <- PC,00010000000000100000000000000000
92,JMP address,C3,INC PC,00000000100000000000000100000000
93,JMP address,C3,MDR-FM WE,00000000000000000000000100000000
94,JMP address,C3,OperandLow <- MDR-FM,01000000000000000100000000000000
95,JMP address,C3,MAR <- PC,00010000000000100000000000000000
96,JMP address,C3,INC PC,00000000100000000000000100000000
97,JMP address,C3,MDR-FM WE,00000000000000000000000100000000
98,JMP address,C3,OperandHigh <- MDR-FM,01000000000000000110000000000000
99,JMP address,C3,PC <- OperandFull,00100000000000010000000000000000
100,JMP address,C3,NOP,00000000000000000000000000000000
101,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
102,JNZ address,C2,INC PC,00000000100000000000000100000000
103,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
104,JNZ address,C2,OperandLow <- MDR-FM,01000000000000000100000000000000
105,JNZ address,C2,MAR <- PC,00010000000000100000000000000000
106,JNZ address,C2,INC PC,00000000100000000000000100000000
107,JNZ address,C2,MDR-FM WE,00000000000000000000000100000000
108,JNZ address,C2,OperandHigh <- MDR-FM,01000000000000000110000000000000
109,JNZ address,C2,Abort if Z,00000000000000000000000000001000
110,JNZ address,C2,PC <- OperandFull,00100000000000010000000000000000
111,JNZ address,C2,NOP,00000000000000000000000000000000
112,JZ address,CA,MAR <- PC,00010000000000100000000000000000
113,JZ address,CA,INC PC,00000000100000000000000100000000
114,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
115,JZ address,CA,OperandLow <- MDR-FM,01000000000000000100000000000000
116,JZ address,CA,MAR <- PC,00010000000000100000000000000000
117,JZ address,CA,INC PC,00000000100000000000000100000000
118,JZ address,CA,MDR-FM WE,00000000000000000000000100000000
119,JZ address,CA,OperandHigh <- MDR-FM,01000000000000000110000000000000
120,JZ address,CA,Abort if Not Z,00000000000000000000000000010000
121,JZ address,CA,PC <- OperandFull,00100000000000010000000000000000
122,JZ address,CA,NOP,00000000000000000000000000000000
123,LDA address,3A,MAR <- PC,00010000000000100000000000000000
124,LDA address,3A,INC PC,00000000100000000000000100000000
125,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
126,LDA address,3A,OperandLow <- MDR-FM,01000000000000000100000000000000
127,LDA address,3A,MAR <- PC,00010000000000100000000000000000
128,LDA address ,3A,INC PC,00000000100000000000000100000000
129,LDA address,3A,MDR-FM WE,00000000000000000000000100000000
130,LDA address,3A,OperandHigh <- MDR-FM,01000000000000000110000000000000
131,LDA address,3A,MAR <- OperandFull,00100000000000100000000000000000
132,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
133,LDA Address,3A,MDR-FM WE,00000000000000000000000100000000
134,LDA address,3A,ACC <- MDR-FM,01000000001000000000000000000000
135,LDA address,3A,NOP,00000000000000000000000000000000
136,"MOV A,B",78,A <- B,01100000001000000000000000000000
137,"MOV A,B",78,NOP,00000000000000000000000000000000
138,"MOV A,C",79,A <- C,01110000001000000000000000000000
